300,46300,1790300,1019300,
100000,3360200,43454101200,109223000,
10000,976400,473342800,17433900,
50000,1915200,9799695200,81901100,
50000,959200,9102013900,20533500,
10000,1022900,459158300,14642800,
10000,519000,461625100,6256100,
10000,840800,386155900,6340200,
10000,366600,407440000,16910300,
10000,240400,395890000,6291500,
10000,198900,387934800,9514800,
10000,43000,381121200,4630000,
10000,34100,387186000,3057300,
10000,37100,381563400,5061100,
10000,37500,381614300,3194900,
10000,37300,402034300,3703200,
10000,38500,390296100,4338500,
10000,49400,401778100,1719200,
10000,64000,422289700,2520300,
10000,62300,495209600,1653300,
10000,60800,535036700,2546800,
10000,61200,395615600,1450200,
10000,43400,388915300,1445500,
10000,43400,399170900,1568100,
10000,43500,403447400,1762200,
10000,46900,378381400,1447700,
10000,42300,404079100,1575200,
10000,42100,393745200,1461700,
10000,43200,393735400,1442400,
10000,51500,401957600,1451200,
10000,50900,384000100,1488100,
10000,48300,384846200,1480600,
10000,39400,381946600,1446000,
100,275600,183600,286500,
100,278300,186600,287800,
100,9500,182200,154700,
100,10000,181400,85600,
100,10000,183800,85900,
100,25900,181600,81700,
100,9700,167900,137800,
0,272900,8700,7800,
200,292700,711400,576700,
20000,1464600,1832273400,27858700,
500,616700,3644000,1145700,
2000,402399,20697600,4551200,
2000,125100,20098301,1764599,
2000,125700,14832200,1228901,
2000,125500,18611300,1198701,
2000,126700,18687201,1205301,
2000,120601,18658300,1197899,
2000,127300,18703699,1745100,
2000,126099,18739500,1210700,
2000,125800,19943499,1198200,
2000,121101,15129999,1217800,
2000,127399,15379800,1202101,
