20000000,CRIBA DE ERATOSTENES,240150713291500,240150950452200,237160700
20000000,CRIBA DE ERATOSTENES,240186200723800,240186422937000,222213200
20000000,CRIBA DE ERATOSTENES,240188400590400,240188651112200,250521800
20000000,CRIBA DE ERATOSTENES,240190264603100,240190517580900,252977800
20000000,CRIBA DE ERATOSTENES,240192336583100,240192587158200,250575100
20000000,CRIBA DE ERATOSTENES,240194816616600,240195055095600,238479000
400,CRIBA DE ERATOSTENES,240229537407300,240229537684700,277400
30,ALGORITMO DE FUERZA BRUTA,242067761877000,242067762222400,345400
30,CRIBA DE ERATOSTENES,242090568609900,242090568943500,333600
100,CRIBA DE ERATOSTENES,242270761840400,242270762083300,242900
100,ALGORITMO DE FUERZA BRUTA,242284528763100,242284529052700,289600
100,CRIBA DE ERATOSTENES,242393105887300,242393106118000,230700
100,ALGORITMO DE FUERZA BRUTA,242401265229300,242401266027000,797700
100,CRIBA DE ERATOSTENES,242490073844400,242490074078600,234200
100,ALGORITMO DE FUERZA BRUTA,242495704792300,242495706073300,1281000
10000,CRIBA DE ERATOSTENES,242520168783200,242520169409300,626100
10000,ALGORITMO DE FUERZA BRUTA,242527672842400,242528230656700,557814300
200,CRIBA DE ERATOSTENES,255579866133800,255579866412300,278500
200,CRIBA DE ERATOSTENES,255593824228200,255593824242500,14300
200,ALGORITMO DE FUERZA BRUTA,255609712161000,255609712928800,767800
400,CRIBA DE ERATOSTENES,255664424150900,255664424179600,28700
5000,CRIBA DE ERATOSTENES,256051986077900,256051986601400,523500
5000,ALGORITMO DE FUERZA BRUTA,256058072293800,256058201956400,129662600
5000,ALGORITMO DE FUERZA BRUTA,256061968313900,256062091872200,123558300
6000,ALGORITMO DE FUERZA BRUTA,256068952187600,256069095445600,143258000
6000,CRIBA DE ERATOSTENES,256072864431300,256072864739400,308100
6000,ALGORITMO DE FUERZA BRUTA,256075880210700,256076059959400,179748700
