20,42800,36100,191900,
20,6500,8900,27300,
20,6200,14400,19000,
20,18400,13600,31800,
20,7700,8200,58400,
20,6100,12300,22000,
20,6400,8300,18900,
20,36200,20500,31900,
20,10300,22800,44600,
20,7600,9000,36200,
20,6800,11600,18100,
20,6100,8400,43500,
20,6200,8400,15600,
20,9900,12900,16600,
20,7400,14000,23300,
20,6200,8300,38700,
20,9400,24900,29000,
20,6600,8200,17400,
20,7000,10800,16500,
20,6700,9100,17200,
20,8300,20500,17700,
100,32000,178600,483900,
100,14400,182200,218200,
100,214900,277500,256200,
100,16700,181600,105100,
